# ra,dec,mag,mag_error
129.621117,18.416213,20.6942,0.011310
129.638337,18.433739,18.0709,0.001335
129.739979,18.379603,19.3903,0.003140
129.778236,18.442385,9.8469,0.000254
129.709884,18.450990,20.7433,0.021061
129.710972,18.506558,15.3039,0.000322
130.054815,18.265626,16.5885,0.001017
130.104290,18.313227,18.6115,0.002132
130.069256,18.342901,19.8794,0.004225
130.188184,18.313342,20.8965,0.024296
130.153391,18.321712,19.9453,0.004514
130.237310,18.363751,19.6463,0.003733
130.145961,18.370558,20.5709,0.010225
129.999563,18.319180,20.0775,0.005141
130.014490,18.313887,16.6059,0.000662
129.973076,18.389020,18.4616,0.001871
130.050318,18.400058,16.4874,0.000978
130.108701,18.451547,16.8002,0.000716
130.020031,18.428953,20.4185,0.007058
130.090254,18.494735,16.7817,0.000815
130.201661,18.437693,20.6386,0.009573
130.394355,18.534725,20.5414,0.007072
130.296348,18.488515,19.0148,0.002378
130.371950,18.558573,18.0784,0.001235
130.205463,18.509110,16.9667,0.000670
130.192783,18.516012,20.5123,0.007771
130.204199,18.550481,20.1607,0.004866
130.217596,18.553888,19.7587,0.004147
130.270742,18.552225,20.4290,0.006800
129.985967,18.127368,21.5721,0.034136
130.118918,18.135284,20.6749,0.010524
130.132494,18.151853,21.6731,0.056036
130.035028,18.120531,16.1660,0.000505
130.063787,18.130509,13.3869,0.000173
130.019709,18.146376,20.3256,0.008415
130.033102,18.161456,20.7220,0.011075
130.111744,18.165694,18.9998,0.002532
130.071119,18.174419,19.9962,0.005082
130.389108,18.168019,20.1772,0.004769
130.474327,18.188662,18.8568,0.002087
130.477186,18.181821,20.3587,0.005282
130.524851,18.216834,20.5662,0.006516
130.502163,18.264120,20.2774,0.004766
130.643656,18.299495,16.7347,0.000537
130.568703,18.297552,19.6942,0.003361
130.600382,18.297536,20.9175,0.012033
130.231730,18.136336,20.3203,0.006433
130.262040,18.190568,16.5672,0.000686
130.374895,18.200912,19.7104,0.003594
130.304731,18.214878,16.8994,0.000685
130.373224,18.239776,19.9639,0.004262
130.355389,18.239805,19.4843,0.003221
130.192632,18.179128,15.9442,0.000479
130.221900,18.235406,16.6938,0.000665
130.127329,18.193895,17.6978,0.001254
130.177170,18.274461,18.3711,0.002528
130.181917,18.268713,17.2815,0.000873
130.231020,18.297808,17.7193,0.001445
130.260385,18.301122,16.9688,0.000728
130.260296,18.312021,20.5186,0.007887
130.258931,18.323504,17.8920,0.001181
130.495895,18.289876,15.7030,0.000318
130.445894,18.287940,20.9516,0.013582
130.483837,18.318160,21.0522,0.018422
130.437553,18.350394,15.0865,0.000289
130.567758,18.384429,21.8208,0.045865
130.474355,18.362331,16.9559,0.000638
130.464429,18.383780,19.1806,0.002490
130.518871,18.381004,21.2195,0.030729
130.504953,18.431607,21.2445,0.041423
130.328618,18.316206,21.0068,0.027190
130.294727,18.342237,20.4619,0.006151
130.310723,18.355544,19.9372,0.010456
130.353217,18.382295,18.4578,0.002654
129.742084,18.158741,18.8344,0.002528
129.887516,18.165196,14.7237,0.000244
129.867044,18.173714,13.7215,0.000240
130.000572,18.149048,14.1701,0.000187
129.820404,18.144983,19.9477,0.004266
129.850976,18.252964,20.8236,0.015004
129.839975,18.262851,18.4979,0.001912
129.797210,18.242539,14.7783,0.001346
129.890354,18.276550,20.3273,0.006585
129.848313,18.269756,20.4490,0.010365
129.864251,18.277230,20.9531,0.021793
129.865241,18.297118,16.7592,0.000690
129.902702,18.357237,18.4117,0.001831
129.577997,18.185276,20.2382,0.005638
129.716773,18.214862,21.9330,0.039003
129.603498,18.195317,18.3140,0.001535
129.481487,18.190367,17.9562,0.001505
129.500853,18.186248,17.2788,0.000904
129.429626,18.213692,18.1642,0.003605
129.591043,18.250886,18.9988,0.003233
129.522841,18.245626,18.8668,0.002246
129.596102,18.250561,20.9856,0.017769
129.611898,18.272478,18.2079,0.001632
129.623478,18.283357,18.5645,0.001702
129.557588,18.290255,19.1551,0.002981
129.580014,18.314106,20.2045,0.015335
129.533435,18.300662,20.3522,0.007484
129.519818,18.323295,20.6062,0.009653
129.689849,18.245788,21.2048,0.028908
129.806404,18.288803,21.4957,0.055407
129.662698,18.285632,19.6039,0.003856
129.678356,18.291085,19.0473,0.002579
129.718005,18.326176,18.7819,0.002096
129.807154,18.298880,19.7915,0.004230
129.895021,18.366115,15.8033,0.000437
129.773770,18.389688,20.5468,0.012523
129.647401,18.305073,20.1236,0.006563
129.670349,18.330654,18.5772,0.002354
129.679141,18.326778,20.4651,0.007550
129.637635,18.362923,16.1947,0.000571
129.625654,18.415357,17.9428,0.001251
129.628690,18.418525,20.0130,0.004658
129.709125,18.408918,18.3783,0.001975
129.678868,18.481084,20.0557,0.005196
130.095775,18.231854,20.7504,0.011115
129.972463,18.109484,20.7983,0.011490
130.095837,18.130207,18.2015,0.001543
130.510260,18.238161,15.5218,0.000339
130.584379,18.261176,20.5687,0.007272
130.629852,18.289868,17.1546,0.000946
130.620340,18.292749,20.5441,0.005974
130.570783,18.314218,19.7882,0.003518
130.609127,18.360881,21.5088,0.023788
130.270981,18.137906,20.3360,0.006185
130.228475,18.140130,20.2464,0.009272
130.395200,18.223084,17.8993,0.001097
130.300435,18.201081,19.5519,0.005691
130.313599,18.234713,19.0868,0.002398
130.310472,18.229337,21.0679,0.021975
130.196574,18.215693,18.3800,0.001713
130.210645,18.247691,17.9185,0.001434
130.121463,18.198974,18.1862,0.001644
130.133671,18.210354,16.7209,0.000690
130.184958,18.263070,16.4597,0.000580
130.277006,18.242207,20.9014,0.015406
130.291496,18.259071,20.3374,0.005821
130.320597,18.287400,19.8324,0.011136
130.216178,18.258420,19.0231,0.002805
130.207333,18.288479,20.0444,0.005367
130.271741,18.320148,18.5637,0.001656
130.482915,18.284183,20.3102,0.005479
130.455555,18.283375,18.3476,0.001696
130.477522,18.302788,17.5876,0.001368
130.430061,18.314307,19.4283,0.002836
